lon;lat;nro;res
-68;12;1;8
-90;-40;1;8
-70;-24;2;10
-80;-45;2;10
-70;-25;3;4.6
-85;-40;3;4.6
-68;15;4;7.5
-100;-41;4;7.5
-70;-25;5;10
-90;-45;5;10
-76;-22;6;10
-92;-38;6;10
-68;-30.5;7;3
-81;-43;7;3
-71;-31.9;8;5
-80;-41;8;5
-69;18;9;25
-120;-40;9;25
-69;15;10;18.5
-100;-40;10;18.5
-74;-44;11;2
-82;-52;11;2
-69;-29;12;7.5
-83;-41;12;7.5
-71;-5;13;25
-93;-47;13;25
-72;-41;14;0.05
-76;-45;14;0.05
-69;-15;15;5
-80;-35;15;5
-72;-41;16;8
-79;-47;16;8
-72;-39;17;2
-80;-50;17;2
-70;-23.5;18;5
-79.5;47;18;5
-72;-41;19;1.2
-76;-47;19;1.2
-69;-15;20;9
-79;-35;20;9
-40;-55;21;9
-80;-68;21;9
-72;-41;22;1.2
-79;-47;22;1.2
-70;-26;23;3
-80;-39;23;3
-71.5;-32.5;24;1
-72.5;-35.5;24;1
-70;-22.5;25;1.8
-72;-25;25;1.8
-69;-19;26;1
-72;-22.5;26;1
-70;-30;27;16
-90;-45;27;16
-74;-34;28;3.5
-76;-40;28;3.5
-72;5;29;8
-96;-28;29;8
-70;-30;30;2
-85;-42;30;2
-72.5;-22.5;31;9
-82.5;-35;31;9
-68;-41;32;2.2
-76.5;-46;32;2.2
-75;-35;33;2
-85;-40;33;2
-70;3;34;12
-90;-20;34;12
-70;-30;35;2
-85;-42;35;2
-70;-27;36;3
-74;-35;36;3
-69;15;37;18
-90;-40;37;18
-70;-31.5;38;9
-75;-40;38;9
-60;10;39;9
-100;-30;39;9
-68;15;40;7.5
-100;-41;40;7.5
-71.6;-33;41;2
-72.2;-34;41;2
-70;15;42;18
-100;-40;42;18
-72;-41;43;1
-79;-47;43;1
-72.5;-43.2;44;0.2
-75;-46.8;44;0.2
-72;-41.4;45;0.2
-74;-43.8;45;0.2
-72.1;-45.6;46;0.1
-74.1;-46.8;46;0.1
-72.6;-44.2;47;0.2
-73.4;-45;47;0.2
-72;-41.5;48;0.6
-74;-43.5;48;0.6